Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
RISP,51,,72,60,30,22,3,0,3,37,2,0,9,14,.367,.437,.567,1.003,34,1,0,1,2,1,0,.422,123,169
---,79,,187,156,3,44,7,0,3,3,0,0,26,21,.282,.401,.385,.786,60,0,5,0,0,0,0,.311,77,135
Men On,75,,143,125,42,45,8,0,8,51,4,2,15,28,.360,.423,.616,1.039,77,10,0,1,2,1,0,.407,129,179
1--,56,,71,65,12,23,5,0,5,14,2,2,6,14,.354,.409,.662,1.070,43,9,0,0,0,0,0,.391,135,189
-2-,18,,18,16,2,1,0,0,0,1,0,0,2,5,.063,.167,.063,.229,1,0,0,0,0,0,0,.091,-46,-34
--3,5,,6,5,2,3,1,0,1,4,0,0,1,0,.600,.667,1.400,2.067,7,0,0,0,0,0,0,.500,350,426
12-,24,,24,19,4,7,0,0,0,3,0,0,4,5,.368,.478,.368,.847,7,1,0,1,0,0,0,.500,92,143
1-3,11,,8,6,9,1,0,0,0,3,2,0,0,2,.167,.125,.167,.292,1,0,0,0,2,0,0,.167,-35,-29
-23,9,,10,9,6,5,0,0,0,9,0,0,1,2,.556,.600,.556,1.156,5,0,0,0,0,1,0,.714,160,195
123,6,,6,5,7,5,2,0,2,17,0,0,1,0,1.000,1.000,2.600,3.600,13,0,0,0,0,0,0,1.000,677,823
on 1st <2 out,55,,75,64,24,26,5,0,5,25,1,2,8,14,.406,.460,.719,1.178,46,10,0,1,2,0,0,.447,159,209
on 3rd <2 out,15,,17,14,18,9,3,0,2,21,0,0,1,2,.643,.588,1.286,1.874,18,0,0,0,2,1,0,.583,307,314
on 3rd 2 out,12,,13,11,6,5,0,0,1,12,2,0,2,2,.455,.539,.727,1.266,8,0,0,0,0,0,0,.500,180,259
0 out ---,49,,71,61,1,18,1,0,1,1,0,0,9,7,.295,.394,.361,.755,22,0,1,0,0,0,0,.321,70,124
0 out 1--,18,,18,17,4,9,1,0,2,5,1,0,1,4,.529,.556,.941,1.497,16,3,0,0,0,0,0,.636,228,294
0 out -2-,3,,3,2,,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,0,.000,-19,-1
0 out --3,1,,1,1,,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,0,1.000,554,498
0 out 12-,7,,6,5,,4,0,0,0,1,0,0,0,1,.800,.800,.800,1.600,4,0,0,1,0,0,0,1.000,259,332
0 out 1-3,5,,5,3,4,1,0,0,0,3,0,0,0,1,.333,.200,.333,.533,1,0,0,0,2,0,0,.250,17,18
0 out -23,2,,2,1,1,1,0,0,0,2,0,0,1,0,1.000,1.000,1.000,2.000,1,0,0,0,0,1,0,1.000,349,371
0 out 123,,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,
1 out ---,53,,69,55,2,13,5,0,2,2,0,0,11,7,.236,.391,.436,.828,24,0,3,0,0,0,0,.239,85,144
1 out 1--,33,,33,29,5,7,2,0,2,5,0,2,4,7,.241,.333,.517,.851,15,6,0,0,0,0,0,.250,87,130
1 out -2-,7,,6,5,1,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,0,0,0,0,0,0,0,.000,-59,-49
1 out --3,3,,3,3,1,2,0,0,1,3,0,0,0,0,.667,.667,1.667,2.333,5,0,0,0,0,0,0,.500,404,407
1 out 12-,10,,10,7,3,2,0,0,0,1,0,0,3,1,.286,.500,.286,.786,2,1,0,0,0,0,0,.333,81,128
1 out 1-3,1,,0,0,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,
1 out -23,3,,3,3,4,1,0,0,0,2,0,0,0,1,.333,.333,.333,.667,1,0,0,0,0,0,0,.500,50,60
1 out 123,3,,3,3,3,3,2,0,1,10,0,0,0,0,1.000,1.000,2.667,3.667,8,0,0,0,0,0,0,1.000,690,811
2 out ---,37,,47,40,,13,1,0,0,0,0,0,6,7,.325,.426,.350,.776,14,0,1,0,0,0,0,.394,76,142
2 out 1--,21,,20,19,3,7,2,0,1,4,1,0,1,3,.368,.400,.632,1.032,12,0,0,0,0,0,0,.400,127,184
2 out -2-,8,,9,9,1,1,0,0,0,1,0,0,0,2,.111,.111,.111,.222,1,0,0,0,0,0,0,.143,-50,-40
2 out --3,2,,2,1,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,0,0,0,0,0,.000,22,56
2 out 12-,9,,8,7,1,1,0,0,0,1,0,0,1,3,.143,.250,.143,.393,1,0,0,0,0,0,0,.250,-10,18
2 out 1-3,5,,3,3,2,0,0,0,0,0,2,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
2 out -23,4,,5,5,1,3,0,0,0,5,0,0,0,1,.600,.600,.600,1.200,3,0,0,0,0,0,0,.750,169,230
2 out 123,3,,3,2,2,2,0,0,1,7,0,0,1,0,1.000,1.000,2.500,3.500,5,0,0,0,0,0,0,1.000,656,843
