Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
First Pitch,39,,47,45,11,21,4,0,3,15,1,0,0,0,.467,.489,.756,1.245,34,2,2,0,0,0,0,.429,174,177
1-0 Count,11,,12,12,3,6,1,0,1,8,0,0,0,0,.500,.500,.833,1.333,10,0,0,0,0,0,0,.455,193,201
2-0 Count,6,,6,6,2,1,0,0,1,4,0,0,0,0,.167,.167,.667,.833,4,0,0,0,0,0,0,.000,77,57
3-0 Count,9,,9,0,,0,0,0,0,1,0,0,9,0,,1.000,,,0,0,0,0,0,1,0,,,
0-1 Count,25,,26,24,7,14,2,0,1,3,0,0,0,0,.583,.600,.792,1.392,19,1,1,1,0,0,0,.565,209,243
1-1 Count,20,,22,22,5,8,2,0,1,4,1,0,0,0,.364,.364,.591,.955,13,1,0,0,0,0,0,.333,110,130
2-1 Count,12,,13,13,2,5,0,0,0,3,0,0,0,0,.385,.385,.385,.769,5,1,0,0,0,0,0,.385,73,83
3-1 Count,16,,17,6,1,3,0,0,1,2,0,0,11,0,.500,.824,1.000,1.824,6,0,0,0,0,0,0,.400,306,187
0-2 Count,15,,17,16,2,2,0,0,0,1,1,0,0,8,.125,.177,.125,.302,2,0,1,0,0,0,0,.250,-32,67
1-2 Count,32,,44,43,4,9,2,0,0,2,0,1,0,12,.209,.205,.256,.460,11,0,0,0,1,0,0,.281,3,122
2-2 Count,41,,52,51,1,12,1,0,1,4,0,0,0,20,.235,.250,.314,.564,16,4,1,0,0,0,0,.367,25,162
Full Count,48,,65,43,7,8,3,0,2,7,1,1,21,9,.186,.446,.395,.842,17,1,0,0,1,0,0,.182,90,119
After 1-0,68,,134,103,,28,5,0,4,25,,,30,20,.272,.433,.437,.870,45,3,0,0,1,1,0,.300,95,121
After 2-0,44,,53,37,,8,0,0,2,8,,,16,7,.216,.453,.378,.831,14,1,0,0,0,1,0,.214,88,74
After 3-0,16,,16,7,,3,0,0,0,1,,,9,1,.429,.750,.429,1.179,3,0,0,0,0,1,0,.500,171,91
After 0-1,77,,149,133,,40,6,0,4,14,,,11,29,.301,.365,.436,.801,58,5,3,1,1,0,0,.356,78,171
After 1-1,73,,136,113,,32,7,0,3,13,,,21,23,.283,.397,.425,.822,48,5,1,0,1,0,0,.330,84,153
After 2-1,56,,83,58,,9,0,0,3,9,,,24,17,.155,.398,.310,.708,18,4,0,0,1,0,0,.154,61,84
After 3-1,33,,37,23,,5,0,0,2,4,,,13,4,.217,.487,.478,.965,11,0,0,0,1,0,0,.167,117,96
After 0-2,46,,56,50,,8,1,0,1,7,,,4,19,.160,.232,.240,.472,12,1,1,0,1,0,0,.226,6,115
After 1-2,61,,101,91,,25,6,0,1,9,,,8,23,.275,.337,.374,.710,34,2,1,0,1,0,0,.353,59,188
After 2-2,59,,97,77,,18,4,0,2,9,,,19,25,.234,.392,.364,.755,28,5,1,0,0,0,0,.320,70,164
Zero Balls,65,,90,85,20,37,6,0,4,19,2,0,0,8,.435,.461,.647,1.108,55,3,4,1,0,0,0,.452,145,214
Zero Strikes,54,,74,63,16,28,5,0,5,28,1,0,9,0,.444,.527,.762,1.289,48,2,2,0,0,1,0,.397,185,172
Three Balls,62,,91,49,8,11,3,0,3,10,1,1,41,9,.225,.571,.469,1.041,23,1,0,0,1,1,0,.211,135,130
Two Strikes,77,,178,153,14,31,6,0,3,14,2,2,21,49,.203,.303,.301,.604,46,5,2,0,2,0,0,.272,36,138
Batter Ahead,73,,122,80,15,23,4,0,5,25,1,1,41,9,.288,.525,.525,1.050,42,2,0,0,1,1,0,.269,136,124
Even Count,66,,121,118,17,41,7,0,5,23,2,0,0,20,.348,.364,.534,.898,63,7,3,0,0,0,0,.387,98,163
Pitcher Ahead,55,,87,83,13,25,4,0,1,6,1,1,0,20,.301,.314,.386,.700,32,1,2,1,1,0,0,.381,56,176
